note_minus_2,note_minus_1,current_note,avg_interval,label
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,52,8.5,1
31,52,43,6.0,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,35,-8.5,1
43,35,24,-9.5,1
35,24,52,8.5,1
24,52,43,9.5,1
52,43,35,-8.5,1
43,35,24,-9.5,1
35,24,50,7.5,1
24,50,42,9.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,48,7.5,1
26,48,42,8.0,1
48,42,33,-7.5,1
42,33,26,-8.0,1
33,26,48,7.5,1
26,48,42,8.0,1
48,42,33,-7.5,1
42,33,26,-8.0,1
33,26,47,7.0,1
26,47,43,8.5,1
47,43,40,-3.5,1
43,40,28,-7.5,1
40,28,47,3.5,1
28,47,43,7.5,1
47,43,40,-3.5,1
43,40,28,-7.5,1
40,28,48,4.0,1
28,48,43,7.5,1
48,43,40,-4.0,1
43,40,28,-7.5,1
40,28,48,4.0,1
28,48,43,7.5,1
48,43,40,-4.0,1
43,40,28,-7.5,1
40,28,50,5.0,1
28,50,43,7.5,1
50,43,38,-6.0,1
43,38,23,-10.0,1
38,23,50,6.0,1
23,50,43,10.0,1
50,43,38,-6.0,1
43,38,23,-10.0,1
38,23,50,6.0,1
23,50,43,10.0,1
50,43,38,-6.0,1
43,38,24,-9.5,1
38,24,50,6.0,1
24,50,43,9.5,1
50,43,38,-6.0,1
43,38,24,-9.5,1
38,24,45,3.5,1
24,45,42,9.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,47,4.5,1
26,47,43,8.5,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,47,4.5,1
31,47,43,6.0,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,47,4.5,1
31,47,43,6.0,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,47,4.5,1
31,47,43,6.0,1
47,43,38,-4.5,1
43,38,31,-6.0,1
38,31,49,5.5,1
31,49,43,6.0,1
49,43,40,-4.5,1
43,40,28,-7.5,1
40,28,49,4.5,1
28,49,43,7.5,1
49,43,40,-4.5,1
43,40,28,-7.5,1
40,28,49,4.5,1
28,49,43,7.5,1
49,43,40,-4.5,1
43,40,28,-7.5,1
40,28,49,4.5,1
28,49,43,7.5,1
49,43,40,-4.5,1
43,40,28,-7.5,1
40,28,50,5.0,1
28,50,42,7.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,42,8.0,1
50,42,33,-8.5,1
42,33,26,-8.0,1
33,26,50,8.5,1
26,50,43,8.5,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,50,7.5,1
31,50,43,6.0,1
50,43,35,-7.5,1
43,35,31,-6.0,1
35,31,52,8.5,1
31,52,43,6.0,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,52,8.0,1
24,52,43,9.5,1
52,43,36,-8.0,1
43,36,24,-9.5,1
36,24,50,7.0,1
24,50,43,9.5,1
50,43,38,-6.0,1
43,38,23,-10.0,1
38,23,50,6.0,1
23,50,43,10.0,1
50,43,38,-6.0,1
43,38,23,-10.0,1
38,23,50,6.0,1
23,50,43,10.0,1
50,43,38,-6.0,1
43,38,24,-9.5,1
38,24,50,6.0,1
24,50,43,9.5,1
50,43,38,-6.0,1
43,38,24,-9.5,1
38,24,45,3.5,1
24,45,42,9.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,45,3.5,1
26,45,42,8.0,1
45,42,38,-3.5,1
42,38,26,-8.0,1
38,26,47,4.5,1
26,47,43,8.5,1
47,43,38,-4.5,1
43,38,26,-8.5,1
38,26,47,4.5,1
26,47,43,8.5,1
47,43,38,-4.5,1
43,38,26,-8.5,1
38,26,48,5.0,1
26,48,45,9.5,1
48,45,40,-4.0,1
45,40,21,-12.0,1
40,21,48,4.0,1
21,48,45,12.0,1
48,45,40,-4.0,1
45,40,21,-12.0,1
40,21,48,4.0,1
21,48,45,12.0,1
48,45,38,-5.0,1
45,38,21,-12.0,1
38,21,48,5.0,1
21,48,45,12.0,1
48,45,36,-6.0,1
45,36,21,-12.0,1
36,21,47,5.5,1
21,47,43,11.0,1
47,43,38,-4.5,1
43,38,23,-10.0,1
38,23,47,4.5,1
23,47,43,10.0,1
47,43,38,-4.5,1
43,38,23,-10.0,1
38,23,47,4.5,1
