note_minus_2,note_minus_1,current_note,avg_interval
21,16,9,-6.0
16,9,4,-6.0
9,4,15,3.0
4,15,28,12.0
15,28,24,4.5
28,24,20,-4.0
24,20,26,1.0
20,26,28,4.0
26,28,29,1.5
28,29,28,0.0
29,28,31,1.0
28,31,21,-3.5
31,21,21,-5.0
21,21,9,-6.0
21,9,4,-8.5
9,4,21,6.0
4,21,35,15.5
21,35,28,3.5
35,28,29,-3.0
28,29,28,0.0
29,28,28,-0.5
28,28,43,7.5
28,43,28,0.0
43,28,28,-7.5
28,28,28,0.0
21,21,20,-0.5
21,20,16,-2.5
20,16,16,-2.0
16,16,16,0.0
16,16,28,6.0
16,28,20,2.0
28,20,16,-6.0
20,16,16,-2.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,20,2.0
16,20,20,2.0
20,20,16,-2.0
20,16,16,-2.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,28,6.0
16,28,20,2.0
28,20,16,-6.0
20,16,16,-2.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,18,1.0
16,18,18,1.0
18,18,18,0.0
18,18,16,-1.0
18,16,18,0.0
16,18,18,1.0
18,18,18,0.0
18,18,21,1.5
18,21,21,1.5
21,21,21,0.0
21,21,18,-1.5
21,18,22,0.5
18,22,22,2.0
22,22,22,0.0
22,22,22,0.0
22,22,22,0.0
22,22,22,0.0
16,16,16,0.0
16,16,21,2.5
16,21,16,0.0
21,16,16,-2.5
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,21,2.5
16,21,16,0.0
21,16,16,-2.5
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,16,0.0
16,16,21,2.5
16,21,16,0.0
21,16,21,0.0
16,21,33,8.5
21,33,33,6.0
33,33,16,-8.5
33,16,21,-6.0
16,21,23,3.5
21,23,21,0.0
23,21,23,0.0
21,23,25,2.0
23,25,28,2.5
25,28,25,0.0
28,25,28,0.0
25,28,25,0.0
28,25,26,-1.0
25,26,28,1.5
26,28,33,3.5
28,33,28,0.0
33,28,32,-0.5
28,32,28,0.0
32,28,32,0.0
28,32,33,2.5
32,33,37,2.5
33,37,33,0.0
37,33,35,-1.0
33,35,33,0.0
35,33,35,0.0
33,35,37,2.0
35,37,40,2.5
37,40,45,4.0
40,45,49,4.5
45,49,52,3.5
49,52,49,0.0
52,49,45,-3.5
49,45,40,-4.5
45,40,37,-4.0
40,37,33,-3.5
37,33,28,-4.5
33,28,33,0.0
28,33,37,4.5
33,37,40,3.5
37,40,37,0.0
40,37,33,-3.5
37,33,28,-4.5
33,28,25,-4.0
28,25,21,-3.5
25,21,16,-4.5
21,16,21,0.0
16,21,25,4.5
21,25,28,3.5
25,28,25,0.0
28,25,21,-3.5
25,21,16,-4.5
21,16,13,-4.0
16,13,9,-3.5
13,9,4,-4.5
9,4,1,-4.0
4,1,4,0.0
7,0,7,0.0
0,7,2,1.0
7,2,9,1.0
2,9,16,7.0
9,16,4,-2.5
16,4,14,-1.0
7,0,7,0.0
0,7,2,1.0
7,2,9,1.0
2,9,16,7.0
9,16,4,-2.5
16,4,14,-1.0
4,2,6,1.0
6,0,9,1.5
0,9,1,0.5
9,1,10,0.5
1,10,2,0.5
10,2,10,0.0
2,10,3,0.5
10,3,12,1.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,4,0.5
4,17,4,0.0
17,4,9,-4.0
4,9,16,6.0
9,16,4,-2.5
16,4,14,-1.0
4,2,6,1.0
6,0,9,1.5
0,9,1,0.5
9,1,10,0.5
1,10,2,0.5
10,2,10,0.0
2,10,3,0.5
10,3,12,1.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,3,0.0
12,3,12,0.0
3,12,4,0.5
4,17,4,0.0
17,4,9,-4.0
4,9,16,6.0
9,16,4,-2.5
16,4,14,-1.0
4,21,16,6.0
21,16,9,-6.0
16,9,4,-6.0
13,9,13,0.0
9,13,18,4.5
13,18,18,2.5
18,18,21,1.5
18,21,8,-5.0
21,8,9,-6.0
8,9,6,-1.0
9,6,13,2.0
6,13,12,3.0
13,12,13,0.0
12,13,9,-1.5
13,9,18,2.5
9,18,26,8.5
18,26,25,3.5
26,25,24,-1.0
25,24,24,-0.5
24,24,20,-2.0
24,20,21,-1.5
20,21,18,-1.0
21,18,21,0.0
18,21,20,1.0
21,20,21,0.0
20,21,18,-1.0
21,18,21,0.0
18,21,25,3.5
21,25,17,-2.0
25,17,13,-6.0
17,13,13,-2.0
13,13,13,0.0
13,13,13,0.0
13,13,20,3.5
13,20,13,0.0
20,13,15,-2.5
13,15,23,5.0
15,23,23,4.0
23,23,18,-2.5
23,18,14,-4.5
18,14,20,1.0
14,20,14,0.0
20,14,14,-3.0
14,14,18,2.0
14,18,13,-0.5
18,13,17,-0.5
13,17,11,-1.0
17,11,13,-2.0
11,13,23,6.0
13,23,21,4.0
23,21,20,-1.5
21,20,9,-6.0
20,9,13,-3.5
9,13,18,4.5
13,18,18,2.5
18,18,21,1.5
18,21,8,-5.0
21,8,9,-6.0
8,9,6,-1.0
9,6,13,2.0
6,13,12,3.0
13,12,13,0.0
12,13,9,-1.5
13,9,18,2.5
9,18,26,8.5
18,26,25,3.5
26,25,24,-1.0
25,24,24,-0.5
24,24,20,-2.0
24,20,21,-1.5
20,21,18,-1.0
21,18,21,0.0
18,21,20,1.0
21,20,21,0.0
20,21,18,-1.0
21,18,21,0.0
18,21,25,3.5
21,25,13,-4.0
25,13,14,-5.5
13,14,18,2.5
14,18,16,1.0
18,16,14,-2.0
16,14,13,-1.5
14,13,16,1.0
13,16,20,3.5
16,20,13,-1.5
20,13,14,-3.0
13,14,23,5.0
14,23,22,4.0
23,22,14,-4.5
22,14,18,-2.0
14,18,16,1.0
18,16,14,-2.0
16,14,9,-3.5
14,9,13,-0.5
9,13,17,4.0
13,17,13,0.0
17,13,16,-0.5
13,16,23,5.0
16,23,18,1.0
23,18,8,-7.5
18,8,11,-3.5
8,11,22,7.0
11,22,14,1.5
22,14,18,-2.0
14,18,16,1.0
18,16,14,-2.0
16,14,13,-1.5
14,13,16,1.0
13,16,14,0.5
16,14,18,1.0
14,18,16,1.0
18,16,14,-2.0
16,14,13,-1.5
14,13,16,1.0
13,16,23,5.0
16,23,22,3.0
23,22,23,0.0
22,23,22,0.0
23,22,14,-4.5
22,14,18,-2.0
14,18,16,1.0
18,16,14,-2.0
16,14,9,-3.5
14,9,13,-0.5
9,13,17,4.0
13,17,13,0.0
17,13,16,-0.5
13,16,23,5.0
16,23,18,1.0
23,18,8,-7.5
18,8,11,-3.5
8,11,22,7.0
11,22,14,1.5
22,14,18,-2.0
14,18,16,1.0
18,16,14,-2.0
16,14,22,3.0
14,22,18,2.0
22,18,23,0.5
18,23,18,0.0
23,18,24,0.5
18,24,18,0.0
24,18,23,-0.5
18,23,20,1.0
23,20,23,0.0
20,23,25,2.5
23,25,26,1.5
25,26,27,1.0
26,27,28,1.0
27,28,27,0.0
28,27,21,-3.5
27,21,28,0.5
21,28,23,1.0
28,23,28,0.0
23,28,23,0.0
28,23,28,0.0
23,28,25,1.0
28,25,28,0.0
25,28,25,0.0
28,25,28,0.0
25,28,25,0.0
28,25,30,1.0
25,30,31,3.0
30,31,32,1.0
31,32,33,1.0
32,33,37,2.5
33,37,35,1.0
37,35,28,-4.5
35,28,25,-5.0
28,25,28,0.0
25,28,25,0.0
28,25,26,-1.0
25,26,23,-1.0
26,23,25,-0.5
23,25,22,-0.5
25,22,25,0.0
22,25,22,0.0
25,22,25,0.0
22,25,19,-1.5
25,19,35,5.0
19,35,34,7.5
35,34,31,-2.0
34,31,31,-1.5
31,31,30,-0.5
31,30,28,-1.5
30,28,25,-2.5
28,25,18,-5.0
25,18,24,-0.5
18,24,22,2.0
24,22,23,-0.5
22,23,17,-2.5
23,17,23,0.0
17,23,16,-0.5
23,16,21,-1.0
16,21,20,2.0
21,20,21,0.0
20,21,17,-1.5
21,17,28,3.5
17,28,27,5.0
28,27,26,-1.0
27,26,26,-0.5
26,26,25,-0.5
26,25,24,-1.0
25,24,20,-2.5
24,20,16,-4.0
20,16,26,3.0
16,26,24,4.0
26,24,20,-3.0
24,20,16,-4.0
20,16,28,4.0
16,28,24,4.0
28,24,23,-2.5
24,23,23,-0.5
23,23,16,-3.5
23,16,21,-1.0
16,21,16,0.0
21,16,23,1.0
16,23,23,3.5
23,23,16,-3.5
23,16,21,-1.0
16,21,16,0.0
21,16,20,-0.5
16,20,16,0.0
20,16,26,3.0
16,26,24,4.0
26,24,20,-3.0
24,20,16,-4.0
20,16,28,4.0
16,28,24,4.0
28,24,23,-2.5
24,23,23,-0.5
23,23,16,-3.5
23,16,21,-1.0
16,21,16,0.0
21,16,23,1.0
16,23,23,3.5
23,23,16,-3.5
23,16,21,-1.0
16,21,16,0.0
21,16,16,-2.5
16,16,15,-0.5
16,15,16,0.0
15,16,20,2.5
16,20,16,0.0
20,16,23,1.5
16,23,20,2.0
23,20,19,-2.0
20,19,20,0.0
19,20,23,2.0
20,23,20,0.0
23,20,26,1.5
20,26,23,1.5
26,23,29,1.5
23,29,26,1.5
29,26,32,1.5
26,32,29,1.5
32,29,35,1.5
29,35,32,1.5
35,32,38,1.5
32,38,35,1.5
38,35,33,-2.5
35,33,32,-1.5
33,32,40,3.5
32,40,38,3.0
40,38,37,-1.5
38,37,35,-1.5
37,35,33,-2.0
35,33,32,-1.5
33,32,33,0.0
32,33,30,-1.0
33,30,27,-3.0
30,27,23,-3.5
27,23,21,-3.0
23,21,18,-2.5
21,18,23,1.0
18,23,20,1.0
23,20,16,-3.5
20,16,14,-3.0
16,14,11,-2.5
14,11,19,2.5
11,19,16,2.5
19,16,13,-3.0
16,13,9,-3.5
13,9,8,-2.5
9,8,7,-1.0
