pitch,interval,label,rolling_avg_pitch,rolling_std_pitch,rolling_avg_interval,rolling_std_interval
66,15,1,66.0,0.0,15.0,0.0
39,-27,1,52.5,19.091883092036785,-6.0,29.698484809834994
65,26,1,56.666666666666664,15.30795000427338,4.666666666666667,27.970222261064237
68,3,1,59.5,13.723459233492601,4.25,22.85278976405288
66,-2,1,60.8,12.23519513534623,3.0,19.987496091306685
70,4,1,61.6,12.77888884058391,0.8,18.912958520548813
68,-2,1,67.4,1.9493588689617924,5.8,11.627553482998906
71,3,1,68.6,1.9493588689617924,1.2,2.9495762407505204
70,-1,1,69.0,2.0,0.4,2.8809720581775817
75,5,1,70.8,2.5884358211089578,1.8,3.114482300479483
74,-1,1,71.6,2.880972058177588,0.8,3.0331501776206156
72,-2,1,72.4,2.0736441353327755,0.8,3.0331501776206156
70,-2,1,72.2,2.280350850198279,-0.2,2.9495762407505204
68,-2,1,71.8,2.8635642126552723,-0.4,3.0495901363953766
66,-2,1,70.0,3.1622776601683804,-1.8,0.4472135954999262
65,-1,1,68.2,2.8635642126552723,-1.8,0.4472135954999262
51,-14,1,64.0,7.516648189186455,-4.2,5.495452665613632
66,15,1,63.2,6.906518659932804,-0.8,10.329569206893382
51,-15,1,59.8,8.043631020876083,-3.4,12.177848742696716
66,15,1,59.8,8.043631020876083,0.0,14.7648230602334
54,-12,1,57.6,7.765307463326871,-2.2,15.738487856207787
53,-1,1,58.0,7.3824115301167,0.4,14.310835055998654
62,9,1,57.2,6.457553716385176,-0.8,12.96919426949878
56,-6,1,58.2,5.585696017507575,1.0,10.977249200050073
54,-2,1,55.8,3.63318042491699,-2.4,7.7006493232713815
63,9,1,57.6,4.61519230368573,1.8,6.833739825307953
58,-5,1,58.6,3.8470768123342682,1.0,7.449832212875668
56,-2,1,57.4,3.435112807463533,-1.2,5.9749476985158605
75,19,1,61.2,8.408329203831162,3.8,10.03493896344168
59,-16,1,62.2,7.596051605933177,1.0,13.435028842544401
62,3,1,62.0,7.58287544405155,-0.2,12.794530081249563
70,8,1,64.4,7.893034904268445,2.4,12.895735729302146
60,-10,1,65.2,6.9785385289471575,0.8,14.02497771834237
58,-2,1,61.8,4.816637831516914,-3.4,9.685040010242599
56,-2,1,61.2,5.403702434442516,-0.6,6.6932802122726
54,-2,1,59.6,6.228964600958972,-1.6,6.387487769068521
75,21,1,60.6,8.354639429682168,1.0,11.704699910719622
78,3,1,64.2,11.366617790706256,3.6,9.964938534682485
54,-24,1,63.4,12.033287165193057,-0.8,16.05303709582707
50,-4,1,62.2,13.198484761517133,-1.2,16.11521020650987
77,27,1,66.8,13.627178724886527,4.6,20.403431084011334
80,3,1,67.8,14.532721699667958,1.0,18.261982367749674
51,-29,1,62.4,14.808781178746614,-5.4,22.501111083677625
78,27,1,67.2,15.287249589118375,4.8,23.498936146132234
77,-1,1,72.6,12.136721138759015,5.4,23.25510696599781
54,-23,1,68.0,14.230249470757704,-4.6,22.37856116911898
75,21,1,67.0,13.322912594474225,-1.0,25.17935662402834
73,-2,1,71.4,9.914635646356345,4.4,20.04494948858689
59,-14,1,67.6,10.382677881933924,-3.8,16.574076143182157
59,0,1,64.0,9.380831519646852,-3.6,16.622274212634082
61,2,1,65.4,7.924645102463574,1.4,12.60158720161869
58,-3,1,62.0,6.244997998398394,-3.4,6.228964600958972
80,22,1,63.4,9.343446901438458,1.4,13.069047402163632
56,-24,1,62.8,9.782637681116475,-0.6,16.364595931461306
54,-2,1,61.8,10.497618777608562,-1.0,16.370705543744897
53,-1,1,60.2,11.23387733598689,-1.6,16.28803241647069
77,24,1,64.0,13.322912594474223,3.8,19.804039991880444
77,0,1,63.4,12.4619420637395,-0.6,16.994116628998402
56,-21,1,63.4,12.4619420637395,0.0,15.984367363145779
78,22,1,68.2,12.557866060760478,4.8,18.619881847100963
75,-3,1,72.6,9.343446901438456,4.4,18.796276226955168
61,-14,1,69.4,10.163660757817524,-3.2,16.42254547870092
80,19,1,70.0,10.793516572461447,0.6,19.295077092357
73,-7,1,73.4,7.436396977031277,3.4,16.133815419794537
71,-2,1,72.0,6.999999999999995,-1.4,12.340988615179901
70,-1,1,71.0,6.819090848492922,-1.0,12.308533625091169
58,-12,1,70.4,7.9561297123664305,-0.6,11.802542099056454
56,-2,1,65.6,7.9561297123664305,-4.8,4.658325879540841
61,5,1,63.2,6.906518659932797,-2.4,6.107372593840984
78,17,1,64.6,9.208691546577068,1.4,10.644247272588135
54,-24,1,61.4,9.63327566303383,-3.2,15.70668647423765
